NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: terphenyl_mop_hexamer.top
# Author: tfobe
# Date: Tuesday, 15. November 2022
# Time: 03:40PM
# System: Linux-5.14.0-1054-oem-x86_64-with-glibc2.31
h67  -0.06532   1.44381  -0.06532   1.44381
h68  -0.06532   1.44381  -0.06532   1.44381
h69  -0.06532   1.44381  -0.06532   1.44381
h70  -0.06866   1.44979  -0.06866   1.44979
h71  -0.05896   0.61928  -0.05896   0.61928
h72  -0.06602    1.4842  -0.06602    1.4842
h73  -0.06602    1.4842  -0.06602    1.4842
h74  -0.06602    1.4842  -0.06602    1.4842
h75  -0.06532   1.44381  -0.06532   1.44381
h76  -0.06532   1.44381  -0.06532   1.44381
c89  -0.3635   1.95345   -0.3635   1.95345
o9   -0.8795   1.70604   -0.8795   1.70604
c90  -0.3635   1.95345   -0.3635   1.95345
c91  -0.3635   1.95345   -0.3635   1.95345
c92  -0.3635   1.95345   -0.3635   1.95345
c93  -0.3635   1.95345   -0.3635   1.95345
c94  -0.3635   1.95345   -0.3635   1.95345
c95  -0.3635   1.95345   -0.3635   1.95345
c96  -0.3635   1.95345   -0.3635   1.95345
c97  -0.3635   1.95345   -0.3635   1.95345
o10  -0.70486   1.69778  -0.70486   1.69778
c98  -0.45539    1.8967  -0.45539    1.8967
c99  -0.3635   1.95345   -0.3635   1.95345
c100 -0.3635   1.95345   -0.3635   1.95345
c101 -0.3635   1.95345   -0.3635   1.95345
c102 -0.3635   1.95345   -0.3635   1.95345
c103 -0.3635   1.95345   -0.3635   1.95345
c104 -0.3635   1.95345   -0.3635   1.95345
c105 -0.3635   1.95345   -0.3635   1.95345
c106 -0.3635   1.95345   -0.3635   1.95345
c107 -0.45539    1.8967  -0.45539    1.8967
n5   -0.70162    1.7998  -0.70162    1.7998
c108 -0.45539    1.8967  -0.45539    1.8967
c109 -0.3635   1.95345   -0.3635   1.95345
c110 -0.3635   1.95345   -0.3635   1.95345
h77  -0.06532   1.44381  -0.06532   1.44381
h78  -0.06532   1.44381  -0.06532   1.44381
h79  -0.06532   1.44381  -0.06532   1.44381
h80  -0.06866   1.44979  -0.06866   1.44979
h81  -0.06866   1.44979  -0.06866   1.44979
h82  -0.06866   1.44979  -0.06866   1.44979
h83  -0.06532   1.44381  -0.06532   1.44381
h84  -0.06532   1.44381  -0.06532   1.44381
h85  -0.06532   1.44381  -0.06532   1.44381
h86  -0.06532   1.44381  -0.06532   1.44381
h87  -0.06532   1.44381  -0.06532   1.44381
h88  -0.06532   1.44381  -0.06532   1.44381
h89  -0.06866   1.44979  -0.06866   1.44979
h90  -0.05896   0.61928  -0.05896   0.61928
h91  -0.06602    1.4842  -0.06602    1.4842
h92  -0.06602    1.4842  -0.06602    1.4842
h93  -0.06602    1.4842  -0.06602    1.4842
h94  -0.06532   1.44381  -0.06532   1.44381
h95  -0.06532   1.44381  -0.06532   1.44381
c111 -0.3635   1.95345   -0.3635   1.95345
o11  -0.8795   1.70604   -0.8795   1.70604
c112 -0.3635   1.95345   -0.3635   1.95345
c113 -0.3635   1.95345   -0.3635   1.95345
c114 -0.3635   1.95345   -0.3635   1.95345
c115 -0.3635   1.95345   -0.3635   1.95345
c116 -0.3635   1.95345   -0.3635   1.95345
c117 -0.3635   1.95345   -0.3635   1.95345
c118 -0.3635   1.95345   -0.3635   1.95345
c119 -0.3635   1.95345   -0.3635   1.95345
o12  -0.70486   1.69778  -0.70486   1.69778
c120 -0.45539    1.8967  -0.45539    1.8967
c121 -0.3635   1.95345   -0.3635   1.95345
c122 -0.3635   1.95345   -0.3635   1.95345
c123 -0.3635   1.95345   -0.3635   1.95345
c124 -0.3635   1.95345   -0.3635   1.95345
c125 -0.3635   1.95345   -0.3635   1.95345
c126 -0.3635   1.95345   -0.3635   1.95345
c127 -0.3635   1.95345   -0.3635   1.95345
c128 -0.3635   1.95345   -0.3635   1.95345
c129 -0.45539    1.8967  -0.45539    1.8967
n6   -0.70162    1.7998  -0.70162    1.7998
c130 -0.45539    1.8967  -0.45539    1.8967
c131 -0.3635   1.95345   -0.3635   1.95345
c132 -0.3635   1.95345   -0.3635   1.95345
h96  -0.06532   1.44381  -0.06532   1.44381
h97  -0.06532   1.44381  -0.06532   1.44381
h98  -0.06532   1.44381  -0.06532   1.44381
h99  -0.06866   1.44979  -0.06866   1.44979
h100 -0.06866   1.44979  -0.06866   1.44979
h101 -0.06866   1.44979  -0.06866   1.44979
h102 -0.06532   1.44381  -0.06532   1.44381
h103 -0.06532   1.44381  -0.06532   1.44381
h104 -0.06532   1.44381  -0.06532   1.44381
h105 -0.06532   1.44381  -0.06532   1.44381
h106 -0.06532   1.44381  -0.06532   1.44381
h107 -0.06532   1.44381  -0.06532   1.44381
h108 -0.06866   1.44979  -0.06866   1.44979
h109 -0.05896   0.61928  -0.05896   0.61928
h110 -0.06602    1.4842  -0.06602    1.4842
h111 -0.06602    1.4842  -0.06602    1.4842
