NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: terphenyl_pmp_octamer.top
# Author: tfobe
# Date: Thursday, 30. June 2022
# Time: 06:55PM
# System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
c122 -0.3635   1.95345   -0.3635   1.95345
c123 -0.3635   1.95345   -0.3635   1.95345
c124 -0.3635   1.95345   -0.3635   1.95345
c125 -0.3635   1.95345   -0.3635   1.95345
c126 -0.3635   1.95345   -0.3635   1.95345
c127 -0.3635   1.95345   -0.3635   1.95345
c128 -0.3635   1.95345   -0.3635   1.95345
c129 -0.3635   1.95345   -0.3635   1.95345
c130 -0.3635   1.95345   -0.3635   1.95345
c131 -0.3635   1.95345   -0.3635   1.95345
c132 -0.3635   1.95345   -0.3635   1.95345
c133 -0.3635   1.95345   -0.3635   1.95345
c134 -0.3635   1.95345   -0.3635   1.95345
c135 -0.3635   1.95345   -0.3635   1.95345
c136 -0.3635   1.95345   -0.3635   1.95345
c137 -0.3635   1.95345   -0.3635   1.95345
c138 -0.3635   1.95345   -0.3635   1.95345
c139 -0.3635   1.95345   -0.3635   1.95345
c140 -0.45539    1.8967  -0.45539    1.8967
n7   -0.70162    1.7998  -0.70162    1.7998
o7   -0.8795   1.70604   -0.8795   1.70604
c141 -0.3635   1.95345   -0.3635   1.95345
c142 -0.3635   1.95345   -0.3635   1.95345
c143 -0.3635   1.95345   -0.3635   1.95345
c144 -0.3635   1.95345   -0.3635   1.95345
c145 -0.3635   1.95345   -0.3635   1.95345
c146 -0.3635   1.95345   -0.3635   1.95345
c147 -0.3635   1.95345   -0.3635   1.95345
c148 -0.3635   1.95345   -0.3635   1.95345
c149 -0.3635   1.95345   -0.3635   1.95345
c150 -0.3635   1.95345   -0.3635   1.95345
c151 -0.3635   1.95345   -0.3635   1.95345
c152 -0.3635   1.95345   -0.3635   1.95345
c153 -0.3635   1.95345   -0.3635   1.95345
c154 -0.3635   1.95345   -0.3635   1.95345
c155 -0.3635   1.95345   -0.3635   1.95345
c156 -0.3635   1.95345   -0.3635   1.95345
