ANGLES
! Rosetta atom_properties file
! Generated using itp_to_param.py
! Original file: terphenyl_pmp_octamer.top
! Author: tfobe
! Date: Thursday, 30. June 2022
! Time: 06:55PM
! System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
! atom types     Kb    b0
c168 h132  1480.1513    1.0939
o14  c180 1466.92833    1.4259
c169 h140  1480.1513    1.0939
c169 h139  1480.1513    1.0939
c169 h141  1480.1513    1.0939
o15  c181 1466.92833    1.4259
o16  c175 1466.92833    1.4259
c170 h121  1480.1513    1.0939
c170 h122  1480.1513    1.0939
c170 h123  1480.1513    1.0939
o17  c174 1466.92833    1.4259
c171 h118  1480.1513    1.0939
c171 h119  1480.1513    1.0939
c171 h120  1480.1513    1.0939
o18  c176 1466.92833    1.4259
c172 h127  1480.1513    1.0939
c172 h128  1480.1513    1.0939
c172 h129  1480.1513    1.0939
o19  c177 1466.92833    1.4259
c173 h124  1480.1513    1.0939
c173 h125  1480.1513    1.0939
c173 h126  1480.1513    1.0939
h138 c174  1480.1513    1.0939
h137 c174  1480.1513    1.0939
h38  c174  1480.1513    1.0939
c175 h160  1480.1513    1.0939
h136 c175  1480.1513    1.0939
h52  c175  1480.1513    1.0939
c176 h157  1480.1513    1.0939
c176 h158  1480.1513    1.0939
c176 h159  1480.1513    1.0939
c177 h151  1480.1513    1.0939
c177 h152  1480.1513    1.0939
c177 h153  1480.1513    1.0939
c178 h154  1480.1513    1.0939
c178 h155  1480.1513    1.0939
c178 h156  1480.1513    1.0939
c179 h148  1480.1513    1.0939
c179 h149  1480.1513    1.0939
c179 h150  1480.1513    1.0939
c180 h145  1480.1513    1.0939
c180 h146  1480.1513    1.0939
c180 h147  1480.1513    1.0939
c181 h142  1480.1513    1.0939
c181 h143  1480.1513    1.0939
c181 h144  1480.1513    1.0939
c182 h162  1480.1513    1.0939
c182 h163  1480.1513    1.0939
c182 h164  1480.1513    1.0939
